title,vote_average,vote_count,overview
Star Wars Knights of the Old Republic II: The Sith Lords,9.3,3,"When Bill catches his girlfriend and her boss in bed, an unusual cure for impotence is found."
Growlanser: Generations,8.6,54,The life of Jesus Christ according to the Gospel of Matthew. Pasolini shows Christ as a marxist avant-la-lettre and therefore uses half of the text of Matthew.
NBA Basketball 2005,7.9,23,"Based on the true story of Raymond Fernandez and Martha Beck, who met through a lonely-hearts correspondence club, Ray is weedy, feral, and untrustworthy; Martha is enormous, compulsive, and needy. Together, they play out a horrifying scheme in which he lures lonely women out on dates and proposes marriage to them, with she pretending to be his sister. They take the women's savings and then murder them remorselessly. Dank, claustrophobic, and weirdly engrossing, this movie never quite gives in to the comforts of conventional narrative. Francois Truffaut named it as his favorite American film."
Robocop,8.5,92,"Umberto Domenico Ferrari, an elderly and retired civil servant, is desperately trying to maintain a decent standard of living on a rapidly dwindling state pension. But he's up against his tyrannical landlady, who keeps demanding rent that he can't pay (while renting his room out to prostitutes during the day), and his only friends are the pregnant housemaid and his little dog Flike."
Winter Games,6.2,14,"This documentary by Joe Berlinger and Bruce Sinofsky details the murder trial of Delbert Ward. Delbert was a member of a family of four elderly brothers, working as semi-literate farmers and living together in isolation from the rest of society until William's death."
The Lord of the Rings: The Battle for Middle-earth,8.3,8,"Dr Jake Terrell, who has been training a pair of dolphins for many years, has had a breakthrough. He has taught his dolphins to speak and understand English, although they do have a limited vocabulary. When the dolphins are stolen, he discovers they're to be used in an assassination attempt. Now he is in a race to discover who is the target, and where the dolphins are, before the attempt is carried out."
Duel Masters: Kaijudo Showdown,7.5,68,"Joey Boca is the owner of a pizza parlor located in Tacoma, Washington, and has been married to Rosalie for years. Rosalie is horrified to discover that Joey is a womanizer and has been cheating on her for a long time. Based on the true story of Frances and Anthony Toto."
World Championship Poker,6.5,608,"Evil dream-demon Freddy Krueger devises a plan to manipulate the unstoppable Jason Vorhees into hacking up the teenagers of Elm Street in an effort to make people remember the name Freddy Krueger, thus freeing him from limbo."
Mega Man X8,7.3,34,"Four skaters follow their idol on his summer tour in an attempt to get noticed, get sponsored, and become stars themselves."
Pac-Man Bowling,7,268,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.
NFL Street 2,8.9,504,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.
Terminator: I'm Back,7.8,193,"Molly Gunn, the freewheeling daughter of a deceased rock legend, is forced to get a job when her manager steals her money. As nanny for precocious Ray, the oft ignored daughter of a music executive she learns what it means to be an adult while teaching Ray how to be a child."
Blade: Trinity,7.7,121,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.
GunGriffon: Allied Strike,6,2,"Lightbulbs, fire, barbed wire, mousetraps, staple guns, thumbtacks and glass are weapons of choice in The Backyard. This undercover documentary takes you deep into the controversial arena of backyard wrestling where the limits are constantly being tested...and broken. The Backyard follows several backyard wrestlers in different countries as they pursue their dream to become professional wrestlers."
Tiger Woods PGA Tour 2005,6,2,"After a bull is killed in a bullfight, its body parts are transported across Spain, France, Italy and Belgium. The bull's parts fall into the wide variety of people, including: an Italian actress selling the bones in a supermarket promotion, a Spanish woman who dines on its steaks, a little girl in France who imagines a world where animals are much larger than humans, and a taxidermist whose wife is simultaneously giving birth to quintuplets."
Armies of Exigo,7,5,"The film is a romantic comedy about a Portuguese widow whose husband had been a fisherman who died at sea. The widow's teenage daughter wants to be a professional gambler and she convinces her mother to date a British man whose new in town. The widow falls for the Brit, who pretends to be in the fishing business but is actually a professional gambler. The naive daughter gets into some trouble."
Alexander,7,289,"Recruited by the U.S. government to be a special agent, nerdy teenager Cody Banks must get closer to cute classmate Natalie in order to learn about an evil plan hatched by her father. But despite the agent persona, Cody struggles with teen angst."
Ridge Racer DS,7.5,39,"Morris ""Mud"" Himmel has a problem. His parents desperately want to send him away to summer camp. He hates going to summer camp, and would do anything to get out of it. Talking to his friends, he realizes that they are all facing the same sentence: a boring summer camp. Together with his friends, he hatches a plan to trick all the parents into sending them to a camp of their own design."
Gretzky NHL 2005,8.3,4,The story of three Pittsburgh widows who meet every year to visit their husband's graves and talk about perspectives in their lives.
Prince of Persia: Warrior Within,8.6,1,"An aspiring artist runs from men as a result of an early life problem that has left her relationship with her father strained. She decides to move into a convent where troubled women receive cheap lodging in exchange for work. She finds a dirty area in the basement where she paints a mural that deals with all of her psychological problems. While some find it gaudy, others such as the mother superior realizes its potential to save the convent which is to be closed. During all this the artist starts a relationship with a man who owns an art supply shop where she shop-lifts her supplies. Written by John Sacksteder"
Tom Clancy's Ghost Recon 2,6,24,"When a hopeful young American hot-dogger goes pole-to-pole with an arrogant Austrian pro, the snow really starts to fly! But as hot as it is on the mountain, it gets even hotter off when the pro's ex-girlfriend (Tweed) sets her eyes on the new blood. Who'll win the competition and the girl? Only a race to end all races can determine which skier can really cut the mustard!"
Final Fantasy I & II: Dawn of Souls,8.5,75,"A horribly disfigured sculptor opens up the House of Wax in New York, using the wax-covered bodies of his victims as his displays."
Star Trek: The Birds of Prey,8.2,17,"All her life Englishwoman Gladys Aylward knew that China was the place where she belonged. Not qualified to be sent there as a missionary, Gladys works as a domestic to earn the money to send herself to a poor, remote village. There she eventually lives a full and happy life: running the inn, acting as ""foot inspector"", advising the local Mandarin and even winning the heart of mixed race Captain Lin Nan. But Gladys discovers her real destiny when the country is invaded by Japan and the Chinese children need her to save their lives. Based on a true story."
Ping Pals,3.5,26,A dog turns from man's best friend into man's worst nightmare as he attacks everything that moves.
Sprung,4,19,"Bart Hughes has a pretty good life, a beautiful wife, a young son, a good job with promotion prospects, and a renovated brownstone in New York. When wife and kid leave for a vacation, Bart stays behind to work on a project that will earn him that promotion, unaware that a certain inhabitant of his basement has other plans for his time. Bart goes a bit bonkers trying to kill this rat, destroying most of his house in the process. Certain allegorical elements tie the household conflict to the ""rat race"" in his office, but the main event is certainly the night-and-day contest of wills between man and rodent."
CSI: Crime Scene Investigation,5.8,10,A Danish prince seeks revenge upon the villain who killed the king and his son to usurp the throne.
Zoids: Battle Legends,5,5,"In the summer of 1816, Percy Shelley, his mistress Mary, and her stepsister Claire visit Lord Byron at Lake Geneva. Byron challenges each to write a horror story, and Mary begins her novel, Frankenstein. She imagines the monster becoming real, and for the next six years, as tragedy befalls those around her, she believes the personification of her imagination is the cause. Against this backdrop, Claire has Byron's baby then is estranged from him and barred from her daughter. Byron and Percy continue their friendship, the one self-centered and decadent, the other wildly idealistic. The Shelleys take up residence near Pisa."
The Chronicles of Riddick: Escape from Butcher Bay -- Developer's Cut,8.8,11,"Charles is in control of his life; he is about to finish 6th from college and start at Oxford. He is 19 and wants an 'older' woman before he turns 20. Enter the beautiful Rachel, and Charles puts his 'master-of-seduction' routines into top gear. Things however get complicated, Charles has a string of ex's and a weird brother-in-law. Rachel has a boyfriend named Deforest and Charles' father has a mistress."
Kingdom Hearts: Chain of Memories,8,82,"Gib, a beer-guzzling slob, and Alison, an uptight Ivy-Leaguer, are an unlikely duo stuck together on a cross-country trip during Christmas break. At first they get on each other's nerves but, as time passes, they find their divergent natures complement each other. Now they need to realize what they've already found before it's too late."
Townsmen 2: Fear of the King,7.6,13,"Corey and his band of skater buddies sometimes make mischief, but they're more interested in girls and having fun on their boards than in getting into any real trouble. Notorious enemy crew the Daggers, led by Tommy Hook, get their kicks terrorizing the locals at Venice Beach. When Corey starts dating Tommy's kid sister Chrissy, the Daggers are furious. The boys then take their beef to the ""L.A. Massacre,"" a deadly skate race down a canyon road."
Sonic Heroes,7,61,"Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends."
It's Mr. Pants,8,112,"After a flight back home, Sam Hendrix returns with a doll he innocently acquired along the way. As it turns out, the doll is actually stuffed with heroin, and a group of criminals led by the ruthless Roat has followed Hendrix back to his place to retrieve it. When Hendrix leaves for business, the crooks make their move -- and find his blind wife, Susy, alone in the apartment. Soon, a life-threatening game begins between Susy and the thugs."
Aqua Teen Hunger Force: Destruct-o-Thon,6.6,1,"Sleeper with a top notch cast in the story of a lone wolf logger who fights developers, bankers and the modern world to maintain his way of life."
World of Warcraft,9.1,59,"A series of events unfold like a chain reaction, all stemming from a minor event that brings the film's five characters together. Set in Paris, France, Anne is an actress whose boyfriend Georges photographs the war in Kosovo. Georges' brother, Jean, is looking for the entry code to Georges' apartment. These characters lives interconnect with a Romanian immigrant and a deaf teacher."
Taiko Drum Master [2004],7.4,99,"An American with a Japanese upbringing, Chris Kenner is a police officer assigned to the Little Tokyo section of Los Angeles. Kenner is partnered with Johnny Murata, a Japanese-American who isn't in touch with his roots. Despite their differences, both men excel at martial arts, and utilize their formidable skills when they go up against Yoshida, a vicious yakuza drug dealer with ties to Kenner's past."
Cabela's Big Game Hunter: 2005 Adventures,6.7,190,"An old couple visit their children and grandchildren in the city, but the children have little time for them."
Asphalt: Urban GT,7.5,25,A lonely Parisian woman comes to terms with her isolation and anxieties during a long summer vacation.
Metal Slug Advance,8.4,265,People in the future live in a totalitarian society. A technician named THX 1138 lives a mundane life between work and taking a controlled consumption of drugs that the government uses to make puppets out of people. As THX is without drugs for the first time he has feelings for a woman and they start a secret relationship.
D-Day,5.2,30,Film version of Jacqueline Susann's best-selling novel chronicling the rise and fall of three young ladies in show business.
Need for Speed Underground 2,8,2,"Seymour Polatkin is a successful, gay Indian poet from Spokane who confronts his past when he returns to his childhood home on the reservation to attend the funeral of a dear friend."
Ms. Pac-Man for Prizes,8.8,12,"Mongryong marries the beautiful Chunhyang without telling his father, the Governor of Namwon. When his father is transferred to Seoul, Mongryong has to leave Chunhyang and finish his exams. Chunhyang, being the daughter of a courtesan, is also legally a courtesan. She is beaten and imprisoned when she refuses to obey the new Governor Byun, as she wishes to be faithful to her husband. After three years, Mongryong passes his exam and becomes an emissary to the King. He returns to Namwon, disguised as a beggar, just before Chunhyang is to be flogged to death at the governor's birthday celebration."
Tork: Prehistoric Punk,6.4,14,"Major Jock Sinclair has been in this Highland regiment since he joined as a boy piper. During the Second World War, as Second-in-Command, he was made acting Commanding Officer. Now the regiment has returned to Scotland, and a new commanding officer is to be appointed. Jock's own cleverness is pitted against his new CO, his daughter, his girlfriend, and the other officers in the Mess."
Vendetta Online,6.5,109,"Louis Mazzini's mother belongs to the aristocratic family D'Ascoyne, but she ran away with an opera singer. Therefore, she and Louis were rejected by the D'Ascoynes. Once adult, Louis decides to avenges his mother and him, by becoming the next Duke of the family. Murdering every potential successor is clearly the safest way to achieve his goal."
Galactic Civilizations: Altarian Prophecy,8,14,Ash Wednesday is set in the Manhattan of the early 1980's and is about a pair of Irish-American brothers who become embroiled in a conflict with the Irish Mob.
Top Gun 2,7.7,76,"A band of Mexicans find their U. S. land claims denied and all the records destroyed in a courthouse fire. Their leader, Louis Chama, encourages them to use force to regain their land. A wealthy landowner wanting the same decides to hire a gang of killers with Joe Kidd to track Chama."
The Mummy (Wireless),7.6,56,Nazis take over an ancient fortress that contains a mysterious entity that wreaks havoc and death upon them.
Connect Four Challenge,8.5,5,"The legendary empire of the lost continent of Mu reappears to threaten the world with domination. While countries unite to resist, an isolated World War II Captain has created the greatest warship ever seen, and possibly the surface world's only defense."
The Legend of Zelda: The Minish Cap,9,8,"In Japan, scientifically advanced invaders from the war-destroyed planet Mysteroid cause an entire village to vanish, then send a giant robot out to storm the city by night, after which they request a small patch of land on Earth and the right to marry earthling women, claiming to be pacifists.  Mankind must decide whether to capitulate or to resist."
Mercenaries,9.1,12,A deranged scientist creates a ray that can shrink people down to doll size.
Mercenaries,9.1,41,"The Beast from 20,000 Fathoms is a 1953 science fiction film directed by Eugène Lourié and stars Paul Christian, Paula Raymond and Cecil Kellaway with visual effects by Ray Harryhausen. The film is about an atomic bomb test in the Arctic Circle that unfreezes a hibernating fictional dinosaur, a Rhedosaurus, that begins to wreak havoc in New York City."
The Getaway: Black Monday,6.5,69,A Hollywood songwriter goes through a mid-life crisis and becomes infatuated with a sexy blonde newlywed.
Defender of the Crown,4.3,882,"Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground."
Resident Evil 4,9.8,124,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences."
Hearts of Iron II,8.7,0,"Seven of today's top scientist/researchers are the subject of this humourous exploration of real people behind the white lab coats; more about what makes the tick than what they have per-se accomplished. Chosen because the subjects are the very best in their particular fields, featured are Gertrude Elion, Ashok Gadgil, Michio Kaku, Maja Materic, Steven Pinker, Karol Sikora and Patricia C. Wright. Written by Len Massaar"
Suikoden IV,7.9,246,"The trademark of The Phantom, a renowned jewel thief, is a glove left at the scene of the crime. Inspector Clouseau, an expert on The Phantom's exploits, feels sure that he knows where The Phantom will strike next and leaves Paris for Switzerland, where the famous Lugashi jewel 'The Pink Panther' is going to be. However, he does not know who The Phantom really is, or for that matter who anyone else really is..."
Fritz 8 Deluxe,8,119,"Now seriously mentally ill after working with Clouseau for such a long time, Inspector Dreyfus escapes from the mental asylum he was being held in and vows to destroy Clouseau forever. He kidnaps an eminent scientist and forces him to build a machine capable of destroying the world, with the intention of doing so unless Clouseau is delivered to him."
Fullmetal Alchemist and the Broken Angel,6.4,753,"John Matrix, the former leader of a special commando strike force that always got the toughest jobs done, is forced back into action when his young daughter is kidnapped. To find her, Matrix has to fight his way through an array of punks, killers, one of his former commandos, and a fully equipped private army. With the help of a feisty stewardess and an old friend, Matrix has only a few hours to overcome his greatest challenge: finding his daughter before she's killed."
Virtua Quest,6.6,49,"Romanticized adaptation of Bram Stoker's 1897 classic. Set in 1913 England, the bloodsucking, but handsome, charming and seductive, Count Dracula seeks an immortal bride."
Virtua Quest,6.6,140,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together."
Bomber Pilot,8,10,"In one of the most tragic face-offs in the history of law enforcement, the deadly debacle at Waco pitted the Branch Davidian sect against the FBI in an all-out war. This documentary makes the most of footage and recordings to examine how the events that led to the tragedy of April 19, 1993, unfolded, and how the FBI's unrelenting approach made what was already a bad situation much worse."
Buffy the Vampire Slayer,7.8,52,"Prompted by the death of his father and the grief of his mother, a man recalls the story of how they met in flashback."
Time of Defiance,8.3,208,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life."
CSI: Miami,6,16,"When word hits the street that a nearby elderly gentleman has a cache of old, rare, and very valuable mint condition comic books, rival comic book shop owners Raymond McGillicuddy (Donal Logue) and Norman Link (Michael Rapaport) both set out to be the first to buy them. But when the old man declines to sell, the former friends turn into enemies, and a friendly rivalry becomes tainted with greed and turns to murder."
MechAssault 2: Lone Wolf,8.9,30,Janet Frame grows up in a poor family. She is different than the other kids. She is considered abnormal and locked away in a mental institution for eight years. Everything changes when she starts writing books.
NFL Street 2,8.9,17,"Documentary about war photographer James Nachtwey, considered by many the greatest war photographer ever."
NFL Street 2,8.9,11,"Paulino and Carmela are husband and wife, troubadours touring the countryside during the Spanish Civil War. They are Republicans, and with their mute assistant, Gustavete, they journey into rebel territory by mistake. They are arrested, fear a firing squad, and receive a reprieve from an Italian Fascist commander who loves the theatre. He arranges a performance for his troops, bargaining with Paulino to stage a burlesque of the republic in exchange for the actors' freedom. Will the fiery and patriotic Carmela consent?"
Kingdom Hearts,7.4,0,"Documentary about the nuclear sabre-rattling that has been going on between India and Pakistan. Comprised mostly of interviews with average folks on the street, the movie superbly demonstrates the gulf between the people's will and the greed of those in power."
Spider-Man 2 3D: NY Rooftops,6.9,1,"Serge is a long distance lorry driver between Morocco andEurope. In Tangier, he tries to reconcile with his former girlfriend, Sarah. She has refused to have anything to do with him since her mother’s death and intends to join her brother in Canada. Serge appeals to Sarah’s protector, a young Arab named Saïd, to allow him to meet up with Sarah, promising in return to smuggle Saïd into Europe..."
S.W.A.T. The Movie: 3D Game,6.5,3,"On June 26, 1975, during a period of high tensions on the Pine Ridge reservation in South Dakota, two FBI agents were killed in a shootout with a group of Indians. Although several men were charged with killing the agents, only one, Leonard Peltier, was found guilty. This film describes the events surrounding the shootout and suggests that Peltier was unjustly convicted."
Asphalt: Urban GT 3D,8,1,"A visceral documentary focusing on the Slovenian collective art movement known as NSK ('Neue Slowenische Kunst') and its varied branches: 'Laibach', 'Irwin', and 'Red Pilot'."
Will of Steel,6,31,"In a dystopicly polluted rightwing religious tyranny, a young woman is put in sexual slavery on account of her now rare fertility."
World Soccer Winning Eleven 8 International,9.4,21,REVOLUTION OS tells the inside story of the hackers who rebelled against the proprietary software model and Microsoft to create GNU/Linux and the Open Source movement.
World Soccer Winning Eleven 8 International,9.4,0,"Documentary look at the 1996-97 effort of the dancers and support staff at a San Francisco peep show, The Lusty Lady, to unionize. Angered by arbitrary and race-based wage policies, customers' surreptitious video cameras, and no paid sick days or holidays, the dancers get help from the Service Employees International local and enter protracted bargaining with the union-busting law firm that management hires. We see the women work, sort out their demands, and go through the difficulties of bargaining. The narrator is Julia Query, a dancer and stand-up comedian who is reluctant to tell her mother, a physician who works with prostitutes, that she strips."
The Punisher [2005],8,11,"An emotionally challenged young man named Bobby (Christian Bale) runs away from home in order to escape his abusive stepfather who has killed his pets. He meets an old man, Mr. Summers (John Hurt), who spends his time traveling and giving burials to animals that have been killed by cars. Bobby, also having an affinity for animals, becomes friends with the old man and aids him in his task."
COPS 2170: The Power of Law,4,9,It's 1947 and the borderlines between India and Pakistan are being drawn. A young girl bears witnesses to tragedy as her ayah is caught between the love of two men and the rising tide of political and religious violence.
Trivial Pursuit [2005],8,17,"In a barren, arranged marriage to an amateur swami who seeks enlightenment through celibacy, Radha's life takes an irresistible turn when her beautiful young sister-in-law seeks to free herself from the confines of her own loveless marriage."
NRA Varmint Hunter,1,78,"Composer Gustav von Aschenbach, travels to Venice for health reasons. There, he becomes obsessed with the stunning beauty of an adolescent Polish boy named Tadzio who is staying with his family at the same Grand Hôtel des Bains on the Lido as Aschenbach."
Star Trek: The Cold Enemy,7,12,A Jewish-American Princess is forced to take control of a hard-core hip-hop record label and tries to rein the one of the label's most controversial rappers.
Oddworld: Stranger's Wrath,8.8,286,A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.
SSX Out of Bounds,7.5,189,"When a young man agrees to housesit for his boss, he thinks it'll be the perfect opportunity to get close to the woman he desperately has a crush on – his boss's daughter. But he doesn't plan on the long line of other houseguests that try to keep him from his mission. And he also has to deal with the daughter's older brother, who's on the run from local drug dealers."
Fight Club,6.3,2,"A bittersweet comedy starring the great Vlastimil Brodský as Fanda, an old man who refuses to grow up. Despite pleas from his exasperated wife who wants him to make serious decisions about the future, Fanda ignores the nagging and spends his days seeking amusement and adventure."
Playboy: The Mansion,6.9,17,"A quirky teen with a penchant for war reenactments, Kelly Ernswiler obsesses over military tactics with his buddy Bart. The school bully is one of Kelly's regular headaches, and he also has to deal with a frustrating situation at home, where his father is a recovering drug addict. Kelly's life gets even more complicated when he falls for Tabby, Bart's pretty and soon-to-be-wed older sister."
Playboy: The Mansion,6.9,19,"Two angels, one from the heaven and one from the hell, come to earth to save the soul of a boxer."
Zoo Keeper,7,8,"Two parallel tales of redemption, a century apart. In the New York storyline, Edge hunts for Angela's gold to pay back a debt, and gradually grows closer to her. In the Macedonian story, the brothers end up fighting for opposite sides of a revolution, with the religious Elijah taking up sides with the Ottoman sultan and gunslinger Luke joining ""the Teacher"" , a Macedonian rebel."
Playboy: The Mansion,6.9,5,"A documentary exploring the rise and fall of 80s skateboard legend Mark ""Gator"" Rogowski."
Hidden & Dangerous 2: Sabre Squadron,7,3,"A film journey through a universe of female masculinity. A legendary Drag King Night in New York is the point of departure for an odyssey to transgendered worlds, where women become men - some for a night, others for their whole lives. What motivates them? What changes take place? What do they dream of? The drag kings of New York meet in clubs and change lustfully into their male alter egos, parodying them and exploring male eroticism and power strategies. In London we see women experiment with hormones to become new men and 'cyborgs'. Masculinity and transformation as performance, subversion or existential necessity."
Banjo Pilot,8,6,"Marcia (Tatiana Saphir), a frumpy and overweight salesgirl who seems to lead a banal and dreary existence, goes to work one day. As she walks she catches the eye of a feisty butch punk woman named Mao (Carla Crespo) who tells Marcia she wants to seduce her. Marcia tells Mao that she's not a lesbian, but Mao is relentless. With the help of her friend Lenin (Veronica Hassan), Mao manages to talk Marcia into getting into a cab that the two lesbian women then immediately car-jack."
3D Pool,7.3,304,"After 23 horrifying days of gorging on human flesh, an ancient creature known as the Creeper embarks on a final voracious feeding frenzy, terrorizing a group of varsity basketball players, cheerleaders and coaches stranded on a remote highway when their bus breaks down. The terrified group is forced to come together and do battle against the winged creature hell-bent on completing its grizzly ritual."
Intellivision Lives!,6,4,"Rahul Seth is a dashing young millionaire who believes he is ""western"" enough to rebel against his mother and grandmother. They are not too keen about his Caucasian girlfriend Kimberly who, to make matters worse, is a pop star. Before you can say ""karmic intervention,"" Kimberly dies in a freak accident and Rahul is devastated. Instead of allowing him to mourn in peace, Rahul's mother sees the opportunity she's been waiting for. She threatens to call off his sister's wedding unless he finds himself a ""nice Indian girl."" Rahul enlists the services of Sue, a fiercely independent escort whom he believes to be Hispanic, and therefore not ""married"" to the conventions taught to young Indian women. With a wink in her eye, Sue accepts the deal to pose as his Indian bride-to-be. She needs the money and having never been a fan of the typical Indian male, she feels her heart is safe. The charade begins...."
The Punisher [2005],8,4,"Forced to work under slave-like conditions in a ""prison for profit"" program, the inmates of a mostly-African-American female prison, Whitehead Correctional, try to take over the institution. At the core of the story is Frances, who finds herself in prison after being falsely convicted of murder, and who is told that her baby has been murdered, sparking her to lead her fellow inmates in the protest"
The Punisher [2005],8,0,"An urban fairy tale-romantic comedy, in which Nola, an aspiring songwriter, leaves an abusive Kansas home and journeys to New York to find her biological father. Once there, she finds more than she expected."
Gran Turismo 4,9.5,14,"Dek, a decent but somewhat dull man, enjoys a happy existence with beloved girlfriend Shirley. They live together with her 12-year-old, Marlene: her daughter by the delinquent Jimmy, who flew the coop years ago and hasn't been heard from since. Dek loves Shirley so much that he proposes to her on national television."
Street Fighter Anniversary Collection,8.2,24,"When Paula leaves her mate Pedro, he misses her and looks for comfort with his best friends, Javier and Sonia. Paula is having an affair with Javier. The cuckold Pedro tries to find who is the secret lover of Paula, and hires a private eye. Meanwhile, while comforting Pedro, Sonia has one night stand with him and Javier thinks she is cheating him with her lesbian friend Lucia."
NBA All-Star 3-Point Shootout,7.4,24,Two troubled adolescents chronicle the events that ultimately lead up to a terrifying assault on their school.
Simon,6.2,65,"TV child star of the '70s, Dickie Roberts is now 35 and parking cars. Craving to regain the spotlight, he auditions for a role of a normal guy, but the director quickly sees he is anything but normal. Desperate to win the part, Dickie hires a family to help him replay his childhood and assume the identity of an average, everyday kid."
Ys: The Ark of Napishtim,7.8,93,"For centuries, a secret Order of priests has existed within the Church. A renegade priest, Father Alex Bernier, is sent to Rome to investigate the mysterious death of one of the Order's most revered members. Following a series of strangely similar killings, Bernier launches an investigation that forces him to confront unimaginable evil."
Snakes,8.7,10,A high school shooting has repercussions on the town and students.
Project: Snowblind,8.8,60,"The New York club scene of the 80s and 90s was a world like no other. Into this candy-colored, mirror ball playground stepped Michael Alig, a wannabe from nowhere special. Under the watchful eye of veteran club kid James St. James, Alig quickly rose to the top... and there was no place to go but down."
Star Wars Republic Commando,8.2,12,"A tale based on the life of Wilhelm Furtwangler, the controversial conductor of the Berlin Philharmonic whose tenure coincided with the controversial Nazi era. One of the most spectacular and renowned conductors of the 30s, Furtwangler's reputation rivaled that of Toscanini's. After the war, he was investigated as part of the Allies' de-Nazification programme. In the bombed-out Berlin of the immediate post-war period, the Allies slowly bring law and order--and justice--to bear on an occupied Germany. An American major is given the Furtwangler file, and is told to find everything he can and to prosecute the man ruthlessly. Tough and hard-nosed, Major Steve Arnold sets out to investigate a world of which he knows nothing. Orchestra members vouch for Furtwangler's morality--he did what he could to protect Jewish players from his orchestra. To the Germans, deeply respectful of their musical heritage, Furtwangler was a demigod; to Major Arnold, he is just a lying, weak-willed Nazi."
Star Wars Republic Commando,8.2,332,"A group of five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals."
Project: Snowblind,8.8,515,A phobic con artist and his protege are on the verge of pulling off a lucrative swindle when the con artist's teenage daughter arrives unexpectedly.
Second Sight,7.5,605,"Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general."
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,7.5,15,"An ex-office worker becomes a ventriloquist, leading to a date with his unemployment counselor; but his quirky family and a gauche female friend may thwart his new career and love life."
Winnie the Pooh's Rumbly Tumbly Adventure,5.5,1943,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America."
Winnie the Pooh's Rumbly Tumbly Adventure,5.5,4,"Thomas Luster is a troubled businessman who tries to make sense of a life being driven out-of-control by a force closer to home than he first realizes. When he discovers that the man working against him is another side of his own personality he is forced to fight back against his manipulative alter-ego as murder, madness and mayhem combine to take Luster on the most bizarre and terrifying ride of his life."
Shaman King: Legacy of the Spirits -- Soaring Hawk Version,6,123,"A movie studio is being torn down. TV interviewer Genya Tachibana has tracked down its most famous star, Chiyoko Fujiwara, who has been a recluse since she left acting some 30 years ago. Tachibana delivers a key to her, and it causes her to reflect on her career; as she's telling the story, Tachibana and his long-suffering cameraman are drawn in."
Shaman King: Legacy of the Spirits -- Sprinting Wolf Version,6.5,47,A conflict of interest between two high-kicking assassin sisters is complicated as they're pursued by the criminals who hired them and an equally high-kicking female cop.
Kessen III,8,8,"Cindy and Lucy are eighteen and going away to college. As a ritual they must rid themselves of the dirt of their small home town (Allburg) by swimming in an abandoned church crypt. They jump in and begin talking about sex when Lucys crucifix falls into the water and drifts down to land on Czakyr's (an ancient vampire) head, apparently waking him up. Some time onwards a school teacher from a nearby town, Mark, gets directed to Allburg to help Lucy and her grandmother, who are suspected to be in trouble. Lucy becomes the target of a town turned vampire because of her 'virgin blood'. Mark, Lucy and an old wino shack up in an abandoned building outside of town but eventually get lured back to Allburg by the locals. There, with a giant glowing cross spearing the front of their Toyota, they take the town on and battle Czakyr."
NASCAR SimRacing,9.2,5,"In this comedy of manners, the American Winterbourne tries to figure out the bright and bubbly Daisy Miller, only to be helped and hindered by false judgments from their fellow friends."
Constantine,6.5,4,"Two middle aged German brothers - one New Age and recently divorced, the other uptight and sceptical - travel to a Zen monastery in Japan in search of enlightenment, or perhaps just in search of themselves."
Aerial Strike: Low Altitude -- High Stakes,6,47,A student on a trip to France is tricked into smuggling secrets across the Iron curtain by a sexy spy.
Constantine,6.5,2,"Details the efforts of a pop-rock star (James Roberts / Rick Springfield) to win the love of a woman he meets in a car accident. None of the usual gambits work on this woman, who has never heard of him. Complications arise involving the ex-girlfriend Nicky, who is still in his band."
Nano Breaker,4.5,60,"George Kuffs didn't finish high-school, just lost his job, and his college-age girlfriend is pregnant. To top it off, George's brother Brad is killed and George inherits Brad's ""patrol special"" privatized police district and all the problems that come with it."
Hot Wheels: Stunt Track Challenge,5.5,99,"Set in late 19th century Canton this martial arts film depicts the stance taken by the legendary martial arts hero Wong Fei-Hung (1847-1924) against foreign forces' (English, French and American) plundering of China."
