overview,title,vote_average,vote_count
"In Tokyo in 1888, Kikunosuke Onoue, the adoptive son of an important actor, discovers that he is praised for his acting only because he is his father's heir, and that the troupe complains how bad he is behind his back. The only person to talk to him honestly about his acting is Otoku, the wet-nurse of his adoptive father's child. She is fired by the family, and Kikunosuke is forbidden to see her, because of the gossip a relationship with a servant would cause. Kikunosuke falls in love with Otoku, and leaves home to try to make a living on his own merits outside Tokyo. He is eventually joined by Otoku, who encourages him to become a famous actor to regain the recognition of his family. Written by Will Gilbert",The Story of the Last Chrysanthemum,7.7,19
Abe Lincoln in Illinois is a 1940 biographical film which tells the story of the life of Abraham Lincoln from his departure from Kentucky until his election as President of the United States.,Abe Lincoln in Illinois,6,4
McMasters and Sand come to oil towns to get rich. Betsey comes West intending to marry Sand but marries McMasters instead. Getting rich and losing it all teaches McMasters and Sand the value of personal ties.,Boom Town,6.5,8
"When retired racket boss John Sarto tries to reclaim his place and former friends try to kill him, he finds solace in a monastery and reinvents himself as a pious monk.",Brother Orchid,6.7,7
"In flashback, fifty years after inventing the light bulb, an 82-year-old Edison tells his story starting at age twenty-two with his arrival in New York. He's on his way with invention of an early form of stock market ticker.","Edison, the Man",6,5
"After a woman shoots a man to death, a damning letter she wrote raises suspicions.",The Letter,7.4,42
Dashing pirate Geoffrey Thorpe (Errol Flynn) plunders Spanish ships for Queen Elizabeth I and falls in love with Dona Maria a beautiful Spanish royal he captures.,The Sea Hawk,7.2,29
"A group of academics have spent years shut up in a house working on the definitive encyclopedia. When one of them discovers that his entry on slang is hopelessly outdated, he ventures into the wide world to learn about the evolving language. Here he meets Sugarpuss O'Shea, a nightclub singer, who's on top of all the slang and, it just so happens, needs a place to stay.",Ball of Fire,7.4,38
"Produced over a two-year period, Kenji Mizoguchi's version of the oft-filmed Seika Mayama story The 47 Ronin was too big to be confined to a single film. Thus, it was released in two parts, each running between 105 and 115 minutes. The story begins in feudal Japan in December of 1701, when warrior leader Lord Asano is tricked into committing Hara-Kiri. Oishi, Asano's loyal clansman, holds the wicked Lord Kira responsible. 14 months after Arano's death, Oishi assembles 47 loyal Ronin (samurai) to exact vengeance. Director Mizoguchi abandoned his usual fascination with modern-day social problems in favor of epic patriotism (remember, the film was made while Japan was still winning World War II.",The 47 Ronin,6.9,8
"Boxer Joe Pendleton, flying to his next fight, crashes...because a Heavenly Messenger, new on the job, snatched Joe's spirit prematurely from his body. Before the matter can be rectified, Joe's body is cremated; so the celestial Mr. Jordan grants him the use of the body of wealthy Bruce Farnsworth, who's just been murdered by his wife. Joe tries to remake Farnsworth's unworthy life in his own clean-cut image, but then falls in love; and what about that murderous wife?",Here Comes Mr. Jordan,6,21
"Popular crooner Russ Raymond abandons his career at its peak and joins the Navy using an alias, Tommy Halstead. However, Dorothy Roberts, a reporter, discovers his identity and follows him in the hopes of photographing him and revealing his identity to the world. Aboard the Alabama, Tommy meets up with Smoky and Pomeroy, who help hide him from Dorothy, who hatches numerous schemes in an attempt to photograph Tommy/Russ being a sailor.",In the Navy,6.2,8
"A young man asks a hat check girl to pose as his fiancée in order to make his dying father's last moments happy. However, the old man's health takes a turn for the better and now his son doesn't know how to break the news that he's engaged to someone else, especially since his father is so taken with the impostor.",It Started with Eve,7.7,6
"Never Give a Sucker an Even Break is a 1941 film about a man who wants to sell a film story to Esoteric Studios. On the way he gets insulted by little boys, beat up for ogling a woman, and abused by a waitress. W. C. Fields' last starring role in a feature-length film.",Never Give a Sucker an Even Break,7.2,3
A happily married woman sees a psychoanalyst and develops doubts about her husband.,That Uncertain Feeling,7,9
"Rick Leland makes no secret of the fact he has no loyalty to his home country after he is court-marshaled out of the army and boards a Japanese ship for the Orient in late 1941. But has Leland really been booted out, or is there some other motive for his getting close to fellow passenger Doctor Lorenz? Any motive for getting close to attractive traveller Alberta Marlow would however seem pretty obvious.",Across the Pacific,6.5,17
"Broadway gambler 'Gloves' Donahue wants to find who killed the baker of his favorite cheesecake. He sees nightclub singer Leda Hamilton leaving the bakery. When her boss Marty's partner Joe is murdered, Leda and her accompanist Pepi disappear. It turns out that beneath all the mystery is a gang of Nazi operatives planning to blow up a battleship in New York harbor.",All Through the Night,6.2,8
"As bareknuckled boxing enters the modern era, brash extrovert Jim Corbett uses new rules and dazzlingly innovative footwork to rise to the top of the top of the boxing world.",Gentleman Jim,7.1,12
"An ambitious woman doesn""t care who she hurts in her drive to make her sister a star.",The Hard Way,7.3,4
"Larry Haines, a mediocre vaudeville entertainer, boards a train bound for Los Angeles. Is Hollywood waiting for him with open arms? Not really as the one he signed a contract for is Percy, his roller-skating penguin partner! But, as the proverb says, the shadow of glory is better than no glory at all! Anyway, doesn't Larry meet a woman on the train? And a blonde one! And a British agent into the bargain! The delicious creature who is carrying a coded message hidden in a brooch and is being pursued by Nazi agents. She will need Larry (and Percy)'s help to elude her pursuers and to get the secret information to destination.",My Favorite Blonde,4.3,3
"Prelude to War was the first film of Frank Capra's Why We Fight propaganda film series, commissioned by the Pentagon and George C. Marshall. It was made to convince American troops of the necessity of combating the Axis Powers during World War II. This film examines the differences between democratic and fascist states.",Why We Fight: Prelude to War,5.6,5
"An amnesiac World War I vet falls in love with a music hall star, only to suffer an accident which restores his original memories but erases his post-War life.",Random Harvest,6.7,24
Ten screenwriters collaborated on this series of tales concerning the effect a tailcoat cursed by its tailor has on those who wear it. The video release features a W.C. Fields segment not included in the original theatrical release.,Tales of Manhattan,6.9,8
Lieutenant Joe Rossi is 1st Officer on a Liberty Ship in a great convoy bound from Halifax to Murmansk. After German subs crushed the convoy his ship loses the convoy and is heading alone to Murmansk. In spite of attacks by German planes and subs he get the ship safely to Murmansk.,Action in the North Atlantic,7,12
"Pete Sandidge (Tracy), a daredevil bomber pilot, dies when he crashes his plane into a German aircraft carrier, leaving his devoted girlfriend, Dorinda (Irene Dunne), who is also a pilot, heartbroken. In heaven, Pete receives a new assignment: he is to become the guardian angel for Ted Randall (Van Johnson), a young Army flyer. Invisibly, Pete guides Ted through flight school and into combat, but the ectoplasmic mentor's tolerance is tested when Ted falls for Dorinda. Ultimately, however, Pete not only comes to terms with their relationship but also acts as Dorinda's copilot when she undertakes a dangerous bombing raid, so that Ted won't have to. Remade by Steven Speilberg in 1989 as ALWAYS",A Guy Named Joe,6,8
"Henry Van Cleve presents himself at the gates of Hell only to find he is closely vetted on his qualifications for entry. Surprised there is any question on his suitability, he recounts his lively life and the women he has known from his mother onwards, but mainly concentrating on his happy but sometimes difficult twenty-five years of marriage to Martha.",Heaven Can Wait,6.9,40
The beautiful wife of a tweedy astronomer becomes convinced that her astrologer's prediction of a new dream man in her life will come true.,The Heavenly Body,5.5,2
"Documentary about the 25th and last bombing mission of a B17, the ""Memphis Belle"". The ""Memphis Belle"" took part in a great bombing raid on sub-pens in Wilhelmshafen, Germany.  If she makes it back from this one, she'll be retired from combat and sent home. That is, if she makes it!
 Fly with the brave men of The Great Flying Fortress on this genuine combat mission! The true story of the real plane and the real crew - actually filmed as it was happening!",The Memphis Belle: A Story of a Flying Fortress,5,1
"A conman poses as a war relief fundraiser, but when he falls for a charity worker, his conscience begins to trouble him.",Mr. Lucky,6.4,14
"Acrobat Eddie Marsh is in the army now. His first act is to become friendly with Kathryn Jones, the colonel's pretty daughter. Their romance hits a few snags, including disapproval from her father. Eddie's also plagued by fear of having an accident during his family's trapeze act in the army variety show, which also features a gallery of MGM stars.",Thousands Cheer,7,2
"In a 17th-century Danish village, an old woman is accused of witchcraft. In the shadow of her flight, capture, confession, and burning at the stake, the young wife of the town's aging pastor falls in love with the pastor's son. Her confession of this illicit affair to her husband brings on her husband's death. At the funeral the pastor's mother denounces the young widow as a witch. Will the widow's lover come to her defense, or has the day of wrath returned?",Day of Wrath,8.3,41
"Rusty Parker, a red-headed leggy dancer at Danny McGuire's Night Club in Brooklyn, wants to be a successful Broadway star. She enters a contest to be a 'Cover Girl' as a stepping-stone in her career. She reminds the publisher, John Coudair, of his lost love, showgirl Maribelle Hicks. He was engaged to Maribelle, although his wealthy society mother made fun of her. Maribelle left John at the altar when she saw the piano at her wedding. It reminded her of the piano-player she truly loved. Rusty is Maribelle's granddaughter and there are musical sequences with Maribelle dancing to songs from the beginning of the 20th century.",Cover Girl,6.4,17
"The young, friendless daughter of Oliver and Alice Reed befriends her father's dead first wife and an aging, reclusive actress.",The Curse of the Cat People,5.8,21
"Olivier mustered out of the navy to film this adaptation of Shakespeare’s history. Embroiled in World War II, Britons took courage from this tale of a king who surmounts overwhelming odds and emerges victorious.",Henry V,7,25
"An idealistic adolescent, suffering under the thumb of a sadistic schoolmaster, falls in love with a loose girl who is bullied and tormented by another lover.",Torment,6.9,18
A meek novelist investigates the mysterious death of a notorious scoundrel.,The Mask of Dimitrios,6.1,11
"Stephen Neale is released into WWII England after two years in an asylum, but it doesn't seem so sane outside either. On his way back to London to rejoin civilization, he stumbles across a murderous spy ring and doesn't quite know  to whom to turn.",Ministry of Fear,6.5,40
A small-town girl with a soft spot for American soldiers wakes up the morning after a wild farewell party for the troops to find that she married someone she can't remember.,The Miracle of Morgan’s Creek,6.7,22
A popular and beautiful woman is forced into a loveless marriage with an older man to save her brother from an embezzlement charge.,Mr. Skeffington,6.8,15
"In this family saga, Mrs. Parkington recounts the story of her life, beginning as a hotel maid in frontier Nevada where she is swept off her feet by mine owner and financier Augustus Parkington. He moves them to New York, tries to remake her into a society woman, and establishes their home among the wealthiest of New York's high society. Family and social life is not always peaceful, however, and she guides us, in flashbacks, through the rises and falls of the Parkington family fortunes.",Mrs. Parkington,6.6,4
Matrac (Humphrey Bogart) is a freedom-loving French journalist who sacrifices his happiness and security to battle Nazi tyranny.,Passage to Marseille,6.4,12
An American woman with a British husband fights to keep her family together through two world wars.,The White Cliffs of Dover,4.7,3
A seductive woman gets an innocent professor mixed up in murder.,The Woman in the Window,7.5,43
"A homely maid and a scarred ex-GI meet at the cottage where she works and where he was to spend his honeymoon prior to his accident. The two develop a bond and agree to marry, more out of loneliness than love. The romantic spirit of the cottage, however, overtakes them. They soon begin to look beautiful to each other, but no one else.",The Enchanted Cottage,5.4,5
"On a Greek island during the 1912 war, several people are trapped by quarantine for the plague. If that isn't enough worry, one of the people, a superstitious old peasant woman, suspects one young girl of being a vampiric kind of demon called a vorvolaka.",Isle of the Dead,5.6,20
"Sergei Eisenstein's final film, this is the first part of a three-part biopic of Czar Ivan Grozny, which was never completed due again to producer dissatisfaction with Eisenstein's attempts to use forbidden experimental filming techniques and excessive cost overruns.  The second part was completed but not released for a decade after Eisenstein's death and a change of heart in the USSR government toward his work; the third part was only in its earliest stage of filming when shooting was stopped altogether.  In this first part, set during the early part of his reign, Ivan faces betrayal from the aristocracy and even his closest friends as he seeks to unite the Russian people.","Ivan the Terrible, Part I",7,30
A sharecropper fights the elements to start his own farm.,The Southerner,5.7,10
"Shortly after Pearl Harbor, a squadron of PT-boat crews in the Philippines must battle the Navy brass between skirmishes with the Japanese. The title says it all about the Navy's attitude towards the PT-boats and their crews.",They Were Expendable,6,31
"In Brooklyn circa 1900, the Nolans manage to enjoy life on pennies despite great poverty and Papa's alcoholism. We come to know these people well through big and little troubles: Aunt Sissy's scandalous succession of ""husbands""; the removal of the one tree visible from their tenement; and young Francie's desire to transfer to a better school...if irresponsible Papa can get his act together.",A Tree Grows in Brooklyn,7.3,20
Locals in an Italian village believe evil has taken over the estate of a recently deceased pianist where several murders have taken place. The alleged killer: the pianist's severed hand.,The Beast with Five Fingers,6.8,14
This film noir stars Alan Ladd as a war veteran framed for the murder of his own wife and follows his search for the real murderer. Veronica Lake plays the sultry femme fatale who provides unexpected help.,The Blue Dahlia,6.6,37
De Havilland plays two roles in this entertaining psychological drama. A sister and her disturbed twin are implicated in a Hollywood murder and a police detective must figure out which one's the killer.,The Dark Mirror,6.3,18
"Davis and Rains shine in a romantic melodrama set in the world of concert music. Davis is a pianist torn between her wealthy, jealous patron and her cellist husband.",Deception,5.9,14
"In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.",Great Expectations,7.2,71
"A classical musician from the slums is sidetracked by his love for a wealthy, neurotic socialite.",Humoresque,7.1,17
"At a track near Rome, shoeshine boys are watching horses run. Two of the boys Pasquale, an orphan, and Giuseppe, his younger friend are riding. The pair have been saving to buy a horse of their own to ride...",Shoeshine,7.6,41
"Wilson of the War Crimes Commission is seeking Franz Kindler, mastermind of the Holocaust, who has effectively erased his identity. Wilson releases Kindler's former comrade Meinike and follows him to Harper, Connecticut, where he is killed before he can identify Kindler. Now Wilson's only clue is Kindler's fascination with antique clocks; but, though Kindler seems secure in his new identity, he feels his past closing in.",The Stranger,7,71
"Near the end of the Civil War, the proud residents of Mannon Manor await the return of shipping tycoon Ezra Mannon and son Orin. Meanwhile Ezra’s conniving wife Christine and daughter Lavinia vie for the love of a handsome captain with a dark secret while well-meaning neighbor Peter sets his sights on Lavinia.",Mourning Becomes Electra,6.7,3
"The movie follows the rise and fall of a con man — a story that begins and ends at a seedy travelling carnival. Stanton Carlisle (Tyrone Power) joins the carnival, working with ""Mademoiselle Zeena"" (Joan Blondell) and her alcoholic husband, Pete (Ian Keith).",Nightmare Alley,7.4,27
Belfast police conduct a door-to-door manhunt for an IRA gunman (James Mason) wounded in a daring robbery.,Odd Man Out,7.3,45
"Scat Sweeney, and Hot Lips Barton, two out of work musicians, stow away on board a Rio bound ship, after accidentally setting fire to the big top of a circus. They then get mixed up with a potential suicide Lucia, who first thanks them, then unexpectedly turns them over to the ship's captain. When they find out that she has been hypnotized, to go through a marriage of convenience, when the ship reaches Rio, the boys turn up at the ceremony, in order to stop the wedding, and to help catch the crooks.",Road to Rio,6.5,12
"Struggling artist Geoffrey Carroll meets Sally while on holiday in the country. A romance develops, but he doesn't tell her he's already married. Suffering from mental illness, Geoffrey returns home where he paints an impression of his wife as the angel of death and then promptly poisons her. He marries Sally but after a while he finds a strange urge to paint her as the angel of death too and history seems about to repeat itself.",The Two Mrs. Carrolls,6,17
"Three outlaws on the run discover a dying woman and her baby. They swear to bring the infant to safety across the desert, even at the risk of their own lives.",3 Godfathers,6.1,39
Wealthy Polly Fulton marries a progressive scholar whose attitudes toward capitalism and acquired wealth puts their marriage in jeopardy.,B.F.'s Daughter,6,1
The baseball player (William Bendix) goes from wayward youth to Boston Red Sox pitcher to New York Yankees home-run hero.,The Babe Ruth Story,5,1
"On the day before Easter in 1911, Don Hewes is crushed when his dancing partner (and object of affection) Nadine Hale refuses to start a new contract with him. To prove Nadine's not important to him, Don acquires innocent new protegee Hannah Brown, vowing to make her a star in time for next year's Easter parade.",Easter Parade,6.7,31
"In John Ford's sombre exploration the mythology of American heroes, he slowly reveals the character of Owen Thursday, who sees his new posting to the desolate Fort Apache as a chance to claim the military honour which he believes is rightfully his. Arrogant, obsessed with military form and ultimately self-destructive, Thursday attempts to destroy the Apache chief Cochise after luring him across the border from Mexico, against the advice of his subordinates.",Fort Apache,6.8,68
A romantic drifter gets caught between a corrupt tycoon and his voluptuous wife.,The Lady from Shanghai,7.2,108
"A pianist about to flee from a duel receives a letter from a woman he cannot remember. As she tells the story of her lifelong love for him, he is forced to reinterpret his own past.",Letter from an Unknown Woman,8.1,58
The idyllic life of a young Cajun boy and his pet raccoon is disrupted when the tranquility of the bayou is broken by an oil well drilling near his home.,Louisiana Story,6.5,10
"The Naked City portrays the police investigation that follows the murder of a young model. A veteran cop is placed in charge of the case and he sets about, with the help of other beat cops and detectives, finding the girl's killer.",The Naked City,7.2,67
"A girl is engaged to the local richman, but meanwhile she has dreams about the legendary pirate Macoco. A traveling singer falls in love with her and to impress her he poses as the pirate.",The Pirate,6.6,17
The story of a petty criminal and his girlfriend who try to escape their gang after a double cross of the thieves.,They Live by Night,6.5,25
"The hectic adventures of D'Artagnan, a young provincial noble who just comes to Paris to enter the musketeers. He will meet action, love, hate, the king and the queen as his impetuousness gets him involved in political plots... and of course virile and indestructible friendship with the three musketeers Athos, Porthos and Aramis. Written by Yepok",The Three Musketeers,6.2,21
"Sir Alfred De Carter suspects his wife of infidelity. While conducting a symphony orchestra, he imagines three different ways of dealing with the situation.",Unfaithfully Yours,7.8,22
"In 1867, a gang led by James ""Stretch"" Dawson robs a bank and flees into the desert. Out of water, the outlaws come upon a ghost town called Yellow Sky and its only residents, a hostile young woman named Mike and her grandpa. The story is a Western adaptation of William Shakespeare's ""The Tempest"".",Yellow Sky,6.7,22
"Josh (Astaire) and Dinah (Rogers) Barkley are a successful musical-comedy team, known for their stormy (but passionate) relationship. Dinah feels overshadowed by Josh, and limited by the lighthearted musical roles he directs her in, and decides to stretch her skills by taking a role in a serious drama, directed by another man.",The Barkleys of Broadway,7.4,11
"In this musical remake of The Shop Around the Corner, feuding co-workers in a small music shop do not realize they are secret romantic pen pals.",In the Good Old Summertime,6.7,10
"Lora May Hollingsway, who grew up next to the wrong side of the tracks, married her boss who thinks she is just a gold digger. Rita Phipps makes as much money writing radio scripts at night as her school teacher husband does. Deborah Bishop looked great in a Navy uniform in WWII but fears she'll never be dressed just right for the Country Club set. These three wives are boarding a boat filled with children going on a picnic when a messenger on a bicycle hands them a letter addressed to all three from Addie who has just left town with one of their husbands. They won't know which one until that night.",A Letter to Three Wives,6.8,26
"At the Café des Poètes in Paris, a fight breaks out between the poet Orphée (Jean Marais) and a group of resentful upstarts. A rival poet, Cègeste (Edouard Dermit), is killed, and a mysterious princess (María Casares) insists on taking Orpheus and the body away in her Rolls-Royce. Orphée soon finds himself in the underworld, where the Princess announces that she is, in fact, Death. Orpheus escapes in the car back to the land of the living, only to become obsessed with the car radio.  This film is the central part of Cocteau's Orphic Trilogy, which consists of The Blood of a Poet (1930), Orpheus (1950) and Testament of Orpheus (1960).",Orpheus,8,46
"When Cholera takes the parents of Mary Lennox, she is shipped from India to England to live with her Uncle Craven. Mary changes the lives of those she encounters at her Uncle's remote estate.",The Secret Garden,6.7,3
"Horse trainer Shawn O'Hara and his lovely niece, Margaret, come to America to escape the memory of an accident involving Margaret's brother, Danny. Working with thoroughbreds in Kentucky, Shawn takes a liking to a yearling named Seabiscuit, and fights to convince the horse's owner that the tiny horse with big knees will become a top-notch racehorse. Meanwhile, Margaret begins a tentative relationship with jockey Ted Knowles, but is haunted by her brother's death in a steeplechase spill. Written by Ray Hamel",The Story of Seabiscuit,4.5,3
"This film adaptation of Irving Berlin's classic musical stars Betty Hutton as gunslinger Annie Oakley, who romances fellow sharpshooter Frank Butler (Howard Keel) as they travel with Buffalo Bill's Wild West Show. Previously off target when it comes to love, Annie proves you can get a man with a gun in this battle-of-the-sexes extravaganza, which features timeless numbers like ""Anything You Can Do"" and ""There's No Business Like Show Business.""",Annie Get Your Gun,7.3,22
"Elisabeth and her brother Paul live isolated from much of the world after Paul is injured in a snowball fight. As a coping mechanism, the two conjure up a hermetic dream of their own making. Their relationship, however, isn't exactly wholesome. Jealousy and a malevolent undercurrent intrude on their fantasy when Elisabeth invites the strange Agathe to stay with them -- and Paul is immediately attracted to her.",Les Enfants Terribles,6.7,19
"Gregory Peck stars as an aging notorious gunslinger, Johnny Ringo. Sick of killing he tries to avoid trouble, but when a cocksure young man named Eddie draws on him, Ringo has no choice but to kill him. Now Eddie's three brothers are after him. Ringo decides to return East to see his estranged wife and young son before the brothers catch up with him.",The Gunfighter,6.7,30
Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.,King Solomon's Mines,6.3,23
"A group of juvenile delinquents live a violent and crime-filled life in the festering slums of Mexico City, and the morals of young Pedro are gradually corrupted and destroyed by the others.",Los Olvidados,7.9,70
Akira Kurosawa directed this drama about a paparazzi photo that a tabloid magazine spins into a scandalous story and soon sparks a court case.,Scandal,6.6,19
"To Jane Falbury's New England farm comes a troup of actors to put up a show, invited by Jane's sister. At first reluctant she has them do farm chores in exchange for food. Her reluctance becomes attraction when she falls in love with the director, Joe, who happens to be her sister's fiance.",Summer Stock,6.5,14
"Is a provocative, haunting, and compassionate examination of the isolating and often misunderstood path of personal redemption and spiritual service in contemporary society. Composed of alternating sequences of daytime and nighttime episodes, the film presents a recurring visual dichotomy that illustrates the polarizing division between wealth and poverty, spirituality and materialism, vanity and humility, selfishness and benevolence.",Europe '51,7.1,17
"This is the story of David Marshall 'Marsh' Williams, the real life inventor of the world famous M-1 Carbine automatic rifle used in WWII. It all started when Marsh, who was one to do things his way, was caught distilling moonshine, and was accused and convicted of shooting a federal officer in the process. This at first placed him in the chain gang which labeled him as a hard case. Later, to make room for those more deserving, he was moved to a prison farm, where he came under the direction of Captain H.T. Peoples. The Captain was a mild mannered warden, who did not shy from discipline when necessary, but also believed that given the opportunity, most men will respond to good. Believing that Marsh was just such a person, the Captain gave him every opportunity to reform, so much so, that he eventually allowed Marsh to work in the tool shop on his spare time to develop and build by hand, a working riffle, inside the prison farm itself.",Carbine Williams,6.6,8
"Carrie's dreams of adventure in the big city are quickly squashed as she discovers all that awaits her there is a bleak life of grueling and poorly-paid factory work. That is, until a traveling salesman named Drouet steps into her life and changes her outlook...",Carrie,5.3,8
"An embittered woman seeks escape in marriage, only to fall for her husband's best friend.",Clash by Night,6.8,18
The classic tale of a king and an everyman switching places.,The Prisoner of Zenda,6.9,10
Follows a woman's fight and survival amid the vicissitudes of life and the cruelty of the society.,The Life of Oharu,8.4,38
"In this sequel to ""The Paleface"", Peter Potter Jr. and Mike 'The Torch' Delroy return as the lead characters. Junior Potter returns to claim his father's gold, which is nowhere to be found; Mike 'The Torch' Delroy is the luscious head of a gang of thieves; and Roy Barton is a federal marshal hot on Mike's trail.",Son of Paleface,6.2,13
"Abbott &amp; Costello are two bumbling (naturally) American cops, on exchange in London, hunting for Mr. Hyde, the monster that has been terrorizing the city.",Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,6.7,23
"After a stagecoach holdup, Frank Slayton's notorious gang leave Ben Warren for deasd and head off with his fiancée. Warren follows, and although none of the townspeople he comes across are prepared to help, he recruits two others who have sworn revenge on the ruthless Slayton.",Gun Fury,5.5,11
"The samurai Moritoh Enda (Kazuo Hasegawa) performs a heroic act by rescuing the lovely Lady Kesa (Machiko Kyo) from a violent uprising. The warrior falls in love with Kesa, but becomes distraught when he finds out that she is already married to a man named Wataru Watanabe (Isao Yamagata). Unable to shake his obsession with Kesa, Moritoh grows increasingly unstable and will not stop in his pursuit of her, no matter what the consequences.",Gate of Hell,6.6,17
"Elia Kazan's 1953 film stars Fredric March as the owner of an impoverished circus in Communist-ruled Czechoslovokia who plots to flee across the border to freedom, taking his entire troupe of performers and wild animals with him. The cast also includes Gloria Grahame, Terry Moore, Cameron Mitchell, Richard Boone and Adolphe Menjou.",Man on a Tightrope,5.3,6
"When British Railways announce the closure of the Titfield to Mallingford branch line a group of local residents make a bid to run it themselves, backed by a monied member of the community who is attracted by the complete lack of licensing hours on trains. Unfortunately the local bus company starts to use methods that can hardly be seen as fair competition.",The Titfield Thunderbolt,7.3,18
"Story of manic schoolgirls who are more interested in racing form than books as they try to get-rich-quick, aided by the head-mistress' brother, played by Alastair Sim, who also plays the head-mistress.",The Belles of St. Trinian's,6.4,17
"In 17th century Kyoto, Osan is married to Ishun, a wealthy miserly scroll-maker. When Osan is falsely accused of having an affair with the best worker, Mohei, the pair flee the city and declare their love for each other. Ishun orders his men to find them, and separate them to avoid public humiliation.",The Crucified Lovers,7.6,22
A comedy/drama about a world-weary impresario who transforms a laundress into a theatrical star.,French Cancan,6.4,12
"Gladys Glover has just lost her modeling job when she meets filmmaker Pete Sheppard shooting a documentary in Central Park. For Pete it's love at first sight, but Gladys has her mind on other things, making a name for herself. Through a fluke of advertising she winds up with her name plastered over 10 billboards throughout city.",It Should Happen to You,7.7,7
"A newly wed couple, Tacy and Nicky, travel in a trailer for their honeymoon. The journey is a humorous one that could end up destroying their marriage.","The Long, Long Trailer",7.3,9
"When churlish, spoiled rich man Bob Merrick foolishly wrecks his speed boat, the rescue team resuscitates him with equipment that's therefore unavailable to aid a local hero, Dr. Wayne Phillips, who dies as a result. Phillips had helped many people, and when Merrick learns Phillips' secret, to give selflessly and in secret, he tries it in a ham-handed way.",Magnificent Obsession,6.9,27
"The issues the miners strike for include equity in wages with Anglo workers, and health and safety issues.Ramon Quintero helps organize the strike, but at home he treats his wife,Esperanza Quintero,as a second class citizen.Esperanza who is pregnant with their third child,is usually passive but she changes her attitude when the men are forced to end their picketing by a Taft-Hartley Act injuction.",Salt of the Earth,7.3,17
"Struggling to elevate himself from his low caste in 17th century Japan, Mayamoto trains to become a mighty samurai warrior.",Samurai I: Musashi Miyamoto,7.4,36
"A movie star helps a young singer/actress find fame, even as age and alcoholism send his own career into a downward spiral.",A Star Is Born,7.1,56
"American girls dream of finding romance in Rome, but there is none for secretaries, Anita tells her replacement at the USDA. But Maria soon meets Prince Dino de Cessi at a party at her boss's home who invites her to fly to Venice in his private plane. Frances, who has been in Rome for 15 years as the secretary of a successful American writer who talks a lot like George Bernard Shaw and is just as elusive as Professor Henry Higgins in ""My Fair Lady,"" tells her at first to say ""no"" and then decides that together they can handle the man nicknamed the predatory prince. Coins tossed in the Trevi Fountain can indeed work magic.",Three Coins in the Fountain,6.2,13
"A gang of forty motorcyclists, the Black Rebels Motorcycle Club, gate-crash a legitimate motorcycle race. They are eventually thrown out, but one of the gang steals the second prize trophy and gives it to their leader, Johnny.",The Wild One,6.9,59
"At an exclusive psychiatric clinic, the doctors and staff are about as crazy as the patients. The clinic head, Dr. Stewart McIver, thinks that it would be good therapy for his patients to design and make new drapes for the library. Mrs. Karen McIver, who is neglected by her hardworking husband (and a bit unbalanced herself), wants to make her mark on the clinic, so she orders new drapes. Miss Inch, the business manager, who has been with the clinic longer than anyone, sees this as an intrusion into her territory, and she too orders drapes. All this puts everyone in a dither, as they fight over drapes and clinic politics.",The Cobweb,4.3,6
"Three World War II buddies promise to meet at a specified place and time 10 years after the war. They keep their word only to discover how far apart they've grown. But the reunion sparks memories of youthful dreams that haven't been fulfilled -- and slowly, the three men reevaluate their lives and try to find a way to renew their friendship.",It's Always Fair Weather,8.7,6
"Orson Welles’s ""Mr. Arkadin"" tells the story of an elusive billionaire who hires an American smuggler to investigate his past.  Welles missed the editing deadline, so the producer handed over the editing to others. Following two Spanish-dubbed versions, released in Madrid in March 1955, the first English-language version was released in London in August 1955 as ""Confidential Report"" but was never released in the US. The fourth version, called ""the Corinth version"", was discovered in 1961 and was released in the US in 1962. Finally, in 2006, ""the Criterion edit"" was released; likely to remain the one closest to Welles' intentions.",Mr. Arkadin,6.8,28
The documentary film from French director Resnais set ten years after the Second World War depicts the problems of Auschwitz with shocking images from the concentration camps.,Night and Fog,8.3,97
"After years on the road establishing his reputation as Japan's greatest fencer, Takezo returns to Kyoto. Otsu waits for him, yet he has come not for her but to challenge the leader of the region's finest school of fencing. To prove his valor and skill, he walks deliberately into ambushes set up by the school's followers. While Otsu waits, Akemi also seeks him, expressing her desires directly. Meanwhile, Takezo is observed by Sasaki Kojiro, a brilliant young fighter, confident he can dethrone Takezo. After leaving Kyoto in triumph, Takezo declares his love for Otsu, but in a way that dishonors her and shames him. Once again, he leaves alone.",Samurai II: Duel at Ichijoji Temple,7.3,23
"Vaudeville entertainer Eddie Foy, who has vowed to forever keep his act a solo, falls in love with and marries Italian ballerina Madeleine. While they continue to tour the circuit, they begin a family and before long have seven little Foys to clutter the wings. After tragedy threatens to stall Eddie's career, he comes to realize that his little terrors are worth their weight in gold. - Chris Stone",The Seven Little Foys,6.3,3
